"","Corpus","Aptitude","Rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"21","5k1k","60p","rank10P","0","0","0","0","0","0","0.00795335282868676","0.00976836241398795","0.0185683364687179","0.032129103070265","0.0506057915333567","0.0725569855123679","0.0946971097090676","0.112505437882325","0.121671855282529","0.119780690539748","0.107340474961324","0.0875628511412847","0.164859648656339","0","0"
"22","5k1k","60p","rank20P","0.0277777777783382","0.0277833004009987","0.499993863751302","0.444445058069361","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","5k1k","60p","rank40P","0.0277777777788362","0.0277882093994195","0.944434012821744","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","5k1k","60p","rank50P","0.0998307822941901","0.290535798760824","0.609633418944985","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","5k1k","60p","rank70P","0.0760220741296589","0.339352708336183","0.417641463183437","0.135130080426037","0.0122524224171638","0.00634860711936336","0.0132526443881565","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","5k1k","80p","rank20P","0.00293608451238743","0.0613533842469424","0.0773996392694558","0.345174442528599","0.218075092498179","0.140881342841651","0.149497617464269","0.004682396638516","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","5k1k","80p","rank40P","0.0166536366420467","0.0844100879514903","0.0717799477937913","0.419248810208152","0.250244289977064","0.157663227427455","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","5k1k","80p","rank50P","0.113427294765508","0.157394003676979","0.218010229410912","0.209062450546597","0.139526705507787","0.0673410672655608","0.0295196341320516","0.020134357747418","0.0188530561351008","0.0146157741164533","0.0121154266956316","0","0","0","0","0","0","0","0","0","0"
"36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
