"","Corpus","Aptitude","Rank","1","2","3","4","5","6","7","8","9"
"35","5k2k","80p","LD3","0","0","0.63090645252712","0.282729803193356","0.0863637442795242","0","0","0","0"
"36","5k2k","80p","LDother","0","0","0","1","0","0","0","0","0"
"37","5k2k","100p","LD1","0.227169309079014","0.20572280735656","0.329771932964492","0.233389367782185","0.00394658281774973","2.22044604925031e-16","0","0","0"
"38","5k2k","100p","LD2","0","0.216490497644121","0.379784720324572","0.298804455128838","0.088327075685857","0.00984902625290407","0.00132981960309131","0.00234361717737219","0.00307078818324213"
"39","5k2k","100p","LD3","0","0","0.366194263452463","0.32935768097076","0.271021631261058","0.0334264243157185","0","0","0"
"40","5k2k","100p","LDother","0","0","0","0.365819301038354","0.0409165678046471","0.398840892524467","0.194423238632533","0","0"
"41","5k3k","20p","LD1","0.836104445294367","0.15458112730059","0.00931442740481403","2.29372076887557e-13","0","0","0","0","0"
"42","5k3k","20p","LD2","0","0.777549740544672","0.202688558713626","0.0197617007417011","0","0","0","0","0"
"43","5k3k","20p","LD3","0","0","0.862837044271819","0.0904481013490039","0.0467148543791758","0","0","0","0"
"44","5k3k","20p","LDother","0","0","0","1","0","0","0","0","0"
"45","5k3k","40p","LD1","0.643454038997215","0.217270194986072","0.105849582172702","0.0334261838440111","0","0","0","0","0"
"46","5k3k","40p","LD2","0","0.545670094280396","0.325921785192761","0.12831456821611","9.35523107309377e-05","0","0","0","0"
"47","5k3k","40p","LD3","0","0","0.597534330308759","0.308600200173968","0.0938137972981016","5.16722191714614e-05","0","0","0"
"48","5k3k","40p","LDother","0","0","0","0.419128243192913","0.580871756807087","0","0","0","0"
"49","5k3k","60p","LD1","0.531213191990577","0.239104829210836","0.156654888103651","0.073027090694935","2.22044604925031e-16","0","0","0","0"
"50","5k3k","60p","LD2","0","0.420165614822182","0.362020753665597","0.211832050624788","0.00598158088737177","6.0285110237146e-14","0","0","0"
"51","5k3k","60p","LD3","0","0","0.636184173640721","0.24249330623886","0.115428312119211","0.00589420800120843","0","0","0"
"52","5k3k","60p","LDother","0","0","0","1","0","0","0","0","0"
"53","5k3k","80p","LD1","0.341074020318887","0.290275761973994","0.253991291725362","0.114658925900201","8.1555540099032e-11","0","0","0","0"
"54","5k3k","80p","LD2","0","0.352122154372169","0.404898818999454","0.240674481629809","0.00230454499856814","0","0","0","0"
"55","5k3k","80p","LD3","0","0","0.613837017446093","0.293998517429137","0.0921644651247697","0","0","0","0"
"56","0","0","0","0","0","0","0","0","0","0","0","0"
"57","5k3k","100p","LD1","0.205436638083266","0.229738750271792","0.322561246078674","0.233151460679996","0.00911190488588809","3.85025344940004e-13","0","0","0"
"58","5k3k","100p","LD2","0","0.224952609231384","0.341726746322434","0.279535382472738","0.132676974596171","0.0098776258009341","0.00252838988143467","0.00638229773131049","0.00231997396359473"
"59","5k3k","100p","LD3","0","0","0.24622841188644","0.418323468616013","0.27320872994716","0.0622393895503869","0","0","0"
"60","5k3k","100p","LDother","0","0","0","0.429841897599333","0.381778543494876","0.188379558905791","0","0","0"
"61","5k4k","20p","LD1","0.776698714742728","0.197586851537611","0.0257144311112395","2.60841592769623e-09","0","0","0","0","0"
"62","5k4k","20p","LD2","0","0.752029534817756","0.239254013167378","0.00871645201486748","0","0","0","0","0"
"63","5k4k","20p","LD3","0","0","0.877897652472149","0.120166998191561","0.00193534933629047","0","0","0","0"
"64","0","0","0","0","0","0","0","0","0","0","0","0"
"65","5k4k","40p","LD1","0.623579545454545","0.241477272727273","0.102272727272727","0.0326704545454546","0","0","0","0","0"
"66","5k4k","40p","LD2","0","0.513125871143628","0.326293351280214","0.160257754329049","0.000323023247108756","0","0","0","0"
"67","5k4k","40p","LD3","0","0","0.624987557726428","0.23214798811409","0.142671611583534","0.000192842575948093","0","0","0"
"68","5k4k","40p","LDother","0","0","0","0.5","0.5","0","0","0","0"
"69","5k4k","60p","LD1","0.498933901918976","0.240938166311301","0.180170575692963","0.0799573560766769","8.26005930321116e-14","0","0","0","0"
"70","5k4k","60p","LD2","0","0.422130575943971","0.369927733011438","0.199555781379831","0.00838590966412589","6.34270413968352e-13","0","0","0"
"71","5k4k","60p","LD3","0","0","0.68560550638825","0.208219731947028","0.0702178964673456","0.0359568651973768","0","0","0"
"72","5k4k","60p","LDother","0","0","0","1","0","0","0","0","0"
"73","5k4k","80p","LD1","0.313858695649167","0.300271739124721","0.260869565168662","0.124999998372525","1.68492564345257e-09","0","0","0","0"
"74","5k4k","80p","LD2","0","0.376768486858774","0.38703539740854","0.234347772487051","0.00184834324563421","0","0","0","0"
"75","5k4k","80p","LD3","0","0","0.558942911332412","0.31876840779837","0.122288680869218","0","0","0","0"
"76","0","0","0","0","0","0","0","0","0","0","0","0"
"77","5k4k","100p","LD1","0.194376528117359","0.213936430317848","0.342298288508558","0.211491442542787","0.0378973105134475","0","0","0","0"
"78","5k4k","100p","LD2","0","0.187585232630486","0.348069745203578","0.315550713072834","0.116838770036759","0.0186053003139657","0.00476376657234923","0.00507924342355126","0.00350722874647613"
"79","5k4k","100p","LD3","0","0","0.24622841188644","0.418323468616013","0.27320872994716","0.0622393895503869","0","0","0"
"80","5k4k","100p","LDother","0","0","0","0.308537538725987","0.382924922548026","0.308537538725987","0","0","0"
"81","5k","20p","LD1","0.754281829292519","0.221149610747499","0.0245685579504138","2.00957239737676e-09","0","0","0","0","0"
"82","5k","20p","LD2","0","0.69608685320361","0.282493172215841","0.0214199745805506","0","0","0","0","0"
"83","5k","20p","LD3","0","0","0.870398880363541","0.122633761568982","0.00696735806747717","0","0","0","0"
"84","5k","20p","LDother","0","0","0","1","0","0","0","0","0"
"85","5k","40p","LD1","0.603724253447986","0.245167593620163","0.137110165745707","0.0139979871857896","3.47055717497824e-13","0","0","0","0"
"86","5k","40p","LD2","0","0.495596866549519","0.345719458186627","0.157513895617306","0.00116977964654497","0","0","0","0"
"87","5k","40p","LD3","0","0","0.574873434310834","0.22504758327666","0.198955993723254","0.00112298868925165","0","0","0"
"88","5k","40p","LDother","0","0","0","0.5","0.5","0","0","0","0"
"89","5k","60p","LD1","0.464041716154553","0.256570712739059","0.21305570899562","0.0663310545452374","8.0756553466621e-07","0","0","0","0"
"90","5k","60p","LD2","0","0.419587120339932","0.361076070369212","0.200302686106253","0.0190341229397815","2.44820497208309e-10","0","0","0"
"91","5k","60p","LD3","0","0","0.697633786176913","0.211340299009221","0.0457311057767443","0.0452948090371209","0","0","0"
"92","5k","60p","LDother","0","0","0","1","0","0","0","0","0"
"93","5k","80p","LD1","0.299479166666412","0.296874999998472","0.278645833307993","0.124999999285952","7.41171901630366e-10","0","0","0","0"
"94","5k","80p","LD2","0","0.363309229974714","0.370146765810994","0.262609188193427","0.00393481602086432","0","0","0","0"
"95","5k","80p","LD3","0","0","0.563876602454741","0.315722070727355","0.120401326817904","0","0","0","0"
"96","0","0","0","0","0","0","0","0","0","0","0","0"
"97","5k","100p","LD1","0.186761229314421","0.217494089834515","0.340425531914894","0.217494089834515","0.0378250591016549","0","0","0","0"
"98","5k","100p","LD2","0","0.176995070080545","0.341108333971807","0.321545130006871","0.124558957167403","0.0208582181850213","0.00533736311277422","0.00563704758016259","0.00395987989541591"
"99","5k","100p","LD3","0","0","0.237479269944753","0.38278929736528","0.287445156270025","0.0922862764199415","0","0","0"
"100","5k","100p","LDother","0","0","0","0.308537538725987","0.382924922548026","0.308537538725987","0","0","0"
